, sugar, ginger, garam masala, ghee, curry leaves, jaggery, urad dal,Rice flour, milk, tomato, garam masala powder, mustard oil,Chana dal, sesame seeds, saffron, turmeric, coconut,Whole wheat flour, clarified butter, cardamom, gram flour, mustard seeds, lemon juice, garlic, potato,Urad dal, baking soda,Rice, salt,Wheat flour,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,list of ingred,clust
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balu shahi,"Maida flour, yogurt, oil, sugar",1,2,25,4,0,West Bengal,1,"['Maida flour', ' yogurt', ' oil', ' sugar']",3
1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boondi,"Gram flour, ghee, sugar",1,2,30,4,0,Rajasthan,6,"['Gram flour', ' ghee', ' sugar']",8
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",1,1,60,4,0,Punjab,3,"['Carrots', ' milk', ' sugar', ' ghee', ' cashews', ' raisins']",1
3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",1,1,30,4,0,Rajasthan,6,"['Flour', ' ghee', ' kewra', ' milk', ' clarified butter', ' sugar', ' almonds', ' pistachio', ' saffron', ' green cardamom']",8
4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",1,1,40,4,0,West Bengal,1,"['Milk powder', ' plain flour', ' baking powder', ' ghee', ' milk', ' sugar', ' water', ' rose water']",3
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Imarti,"Sugar syrup, lentil flour",1,0,50,4,0,West Bengal,1,"['Sugar syrup', ' lentil flour']",12
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",1,0,50,4,0,Uttar Pradesh,3,"['Maida', ' corn flour', ' baking soda', ' vinegar', ' curd', ' water', ' turmeric', ' saffron', ' cardamom']",1
7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kaju katli,"Cashews, ghee, cardamom, sugar",1,0,20,4,0,Neutral,2,"['Cashews', ' ghee', ' cardamom', ' sugar']",12
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalakand,"Milk, cottage cheese, sugar",1,1,30,4,0,West Bengal,1,"['Milk', ' cottage cheese', ' sugar']",3
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kheer,"Milk, rice, sugar, dried fruits",1,0,40,4,0,Neutral,2,"['Milk', ' rice', ' sugar', ' dried fruits']",12
